Strategy,Scenario,TDC_EUR,Rent_EUR_per_kW_month,Exit_Yield,Project_NPV_9pct,Equity_NPV_13pct,Project_IRR,Equity_IRR,Min_DSCR,Stabilized_NOI,Terminal_or_Sale_Value,Break_even_Rent_EUR_per_kW_month,Break_even_Stabilized_Occupancy
Turnkey,Base,119000000.0,90.0,0.0675,28709474.067410894,6428777.151472151,0.10209120463359855,0.13103905864581955,0.507733496709994,14125961.799369432,200503862.33774146,74.50345527759279,0.7676772559278472
Turnkey,Downside,128520000.00000001,82.8,0.07500000000000001,-10793139.509700738,-23138096.11709538,0.07128056832145824,0.07813787486861934,0.2948794692125012,11712826.587121101,149593329.9874509,97.07369354165563,0.99
Turnkey,Upside,115430000.0,97.2,0.0625,57302647.96446042,26536572.478443112,0.12185948577346017,0.16332721050642063,0.6636364609719412,16022039.226990208,245634703.59534562,63.15442022028707,0.6346559945947606
Powered Shell,Base,57000000.0,52.0,0.075,21463614.882706854,7450283.980614157,0.11256713003937169,0.1448347612192914,0.35172392557681587,8185216.381096346,104564541.81040518,39.46717845739984,0.6890124325705802
Powered Shell,Downside,61560000.00000001,47.84,0.08249999999999999,922253.125958994,-7863282.221261188,0.08146622280382843,0.09252394504872818,0.1482881492962099,6792844.44578083,78871307.1244447,51.34733123845484,0.9349247339208265
Powered Shell,Upside,55290000.0,56.160000000000004,0.06999999999999999,36314991.248688936,17880640.33141899,0.13242091381957655,0.17687071457112558,0.4998380009649149,9280256.792448025,127033975.41132389,33.543743853349916,0.5663572414128574
Build-to-exit,Base,62000000.0,57.0,0.0725,22221159.825958397,7580409.437559079,0.11171347206969318,0.1440105292618904,0.3897511735712555,8404928.388572972,111066709.11521547,43.84489589503059,0.6738840660117571
Build-to-exit,Downside,66960000.00000001,52.440000000000005,0.07999999999999999,-241280.89752497897,-9193496.719747262,0.07963825972010186,0.08937749408663331,0.178260484646233,6919930.547564576,82850197.0830677,57.17361025114556,0.99
Build-to-exit,Upside,60140000.0,61.56,0.06749999999999999,38456396.6070262,19006342.656493936,0.13214347148062788,0.17736934393971626,0.5438723944666876,9562456.29931725,135737782.96647325,37.21877027247553,0.5537461772331778
