variable,npv_delta
rent_-10pct,-15466561.34730775
capex_+10pct,-11506972.47706423
exit_yield_+100bps,-9695734.83764325
occupancy_-5pts,-8654757.457368694
debt_+100bps,0.0
capex_-5pct,5753486.238532096
exit_yield_-50bps,6011355.599338815
rent_+10pct,15466561.347307779
