variable,npv_delta
rent_-10pct,-8743893.072151385
exit_yield_+100bps,-7549277.657616295
capex_+10pct,-5995229.357798159
occupancy_-5pts,-5236541.852139279
debt_+100bps,0.0
capex_-5pct,2997614.6788990796
exit_yield_-50bps,4613447.457432188
rent_+10pct,8743893.072151378
