Strategy,NPV_P10,NPV_P50,NPV_P90,EqIRR_P10,EqIRR_P50,EqIRR_P90,Prob_NPV_lt_0,Prob_EqIRR_lt_Hurdle
Turnkey,9557592.320047902,21665947.573708914,32471435.502699547,0.10689410914868687,0.12176192568221444,0.13455569208026727,0.0085,1.0
Powered Shell,13160284.453032045,19442470.28487743,25063635.61342104,0.12473109569405898,0.13919598971795621,0.1518500866784265,0.0,0.863
Build-to-exit,7247042.818909189,14934295.529620726,21570613.04913255,0.1098644740726058,0.12760893907065207,0.1424711477408998,0.005,0.9785
